"shot_id","start_end","时长","镜头标题","景别机位","出场精灵","台词","画面动作","首帧需求","尾帧需求","视频方式","音效剪辑备注","出图注意"
"scene_001_a","00:00-00:03","3s","闪耀大赛开场空镜","远景/正面略俯视/缓慢推近","无","","闪耀大赛赛场空镜；夜晚学院城堡庭院；中央圆形对战擂台干净开阔；三支队伍还未登场","first_frames_v2/scene_001_a_first.png","","首帧图生视频","环境声+远处观众氛围+很轻的低频战鼓预埋","16:9；不要角色；不要UI；不要文字；突出圆形擂台和蓝灰色石板广场"
"scene_001_b","00:03-00:09","6s","雪天队正面登场","中景/正面三角构图/轻微推近","雪影娃娃、雪巨人、月牙雪熊","雪影娃娃：雪天已经下起来了，你们最好别站太久，不然就把你们全冻住咯。","雪天队正面站在圆形擂台前方；雪影娃娃在中间靠前说话；雪巨人和月牙雪熊分站两侧；冰蓝雪花铺向擂台","first_frames_v2/scene_001_b_first.png","","首帧图生视频","雪花铺开声+轻微冰晶音；字幕按一句或两行处理","三只雪天队都要清楚；雪影娃娃轻微口型；不要新增无关精灵；不要把雪影娃娃画成蓝发人偶"
"scene_001_c","00:09-00:14","5s","沙暴队正面登场","中景/正面三角构图/轻微推近","布克棱岩、棋契陛下、针叶巡林","布克棱岩：让我把沙尘暴开出来让你们试试无限地刺的厉害。","沙暴队正面站在圆形擂台前方；布克棱岩在中间靠前说话；棋契陛下和针叶巡林分站两侧；沙尘、地刺、棋盘战术线沿地面展开","first_frames_v2/scene_001_c_first.png","","首帧图生视频","沙尘卷起声+地刺弹出声；台词节奏要短促强势","布克棱岩轻微口型；地刺是毛绒/定格动画质感；不要真实棋盘贴图；不要把布克棱岩画成虫形或紫色兽"
"scene_001_d","00:14-00:19","5s","虫队登场","中景/三只同框/包围构图","女王蜂、花衣蝶、铠甲虫","女王蜂、花衣蝶、铠甲虫：我们不是区。","虫队从另一侧进入；三只精灵一起喊话；虫群形成环形包围网；花衣蝶轻微飞动；铠甲虫守住阵型","first_frames_v2/scene_001_d_first.png","","首帧图生视频","三只齐喊可做叠声；虫群环绕声；结尾切入混战","三只虫队精灵都要有轻微口型；不要恐怖虫群；不要文字"
"scene_002_a","00:19-00:24","5s","三队混战与预警","大全景转中景/手持感轻晃/最后定格停顿","雪影娃娃、雪巨人、月牙雪熊、布克棱岩、棋契陛下、针叶巡林、女王蜂、花衣蝶、铠甲虫","女王蜂：先停一下！这是什么动静？ / 雪影娃娃：好像是打鼓的声音。","三队九只精灵在闪耀大赛赛场中央卡通式互殴；雪花、地刺、沙尘、虫群乱飞；低沉战鼓声靠近后混战突然停住；三队代表看向赛场入口","first_frames_v2/scene_002_a_first.png","","首帧图生视频","混战音效先乱后突然抽空；加入低频战鼓和地面震动；两个短字幕依次出现","九只精灵不能挤成一团；互殴只做卡通夸张不受伤；巨鼓象不要完全出现"
"scene_002_b","00:24-00:29","5s","巨鼓象战鼓车轮登场","低机位/入口方向/侧向滚入","巨鼓象","巨鼓象：麻烦借过一下，我停不下来啊！","巨鼓象以夸张战鼓车轮形态从赛场入口滚入；保留巨鼓象本体、象鼻和鼓形机械结构；表情慌而不凶；鼓轮贴地转动","first_frames_v2/scene_002_b_first.png","","首帧图生视频","战鼓轮滚动声+低频震动；台词轻微慌张但不攻击","巨鼓象可以有轻微口型；不要汽车化；不要变成普通轮胎；不要新增角色"
"scene_003_a","00:29-00:31","2s","雪天队被压扁","横向跟拍/从巨鼓象运动方向看/首帧图生视频","巨鼓象、雪影娃娃、雪巨人、月牙雪熊","","巨鼓象从画面左侧高速滚到右侧，一闪而过；右侧雪天队三只精灵瞬间被压成扁扁卡通毛绒薄片，贴在光滑冰面上；整个包袱在1-2秒内完成","first_frames_v2/scene_003_a_first.png","","首帧图生视频","左到右快速滚过：咚轰+冰面滑音+轻软噗；瞬间停顿0.2秒","压扁是卡通毛绒薄片；无血腥无痛苦；三只雪天队都要可辨认"
"scene_003_b","00:31-00:33","2s","沙暴队被压扁","横向跟拍/略俯视看地面线条/首帧图生视频","巨鼓象、布克棱岩、棋契陛下、针叶巡林","","巨鼓象从画面左侧高速滚到右侧，一闪而过；右侧沙暴队三只精灵瞬间被压成扁扁毛绒薄片，地刺、棋盘和战术线被压成一条笔直斑马线；整个包袱在1-2秒内完成","first_frames_v2/scene_003_b_first.png","","首帧图生视频","左到右快速滚过：咚轰+沙尘刷声+地刺咔哒拉直；瞬间停顿0.2秒","三只沙暴队都要可辨认；不要破碎暴力；不要把棋契陛下换成其他棋类精灵"
"scene_003_c","00:33-00:35","2s","虫队被压扁","横向跟拍/虫群包围网视角/首帧图生视频","巨鼓象、女王蜂、花衣蝶、铠甲虫","","巨鼓象从画面左侧高速滚到右侧，一闪而过；右侧虫队三只精灵瞬间被压成扁扁毛绒薄片，虫群包围网被压成一排风阻线；整个包袱在1-2秒内完成","first_frames_v2/scene_003_c_first.png","","首帧图生视频","左到右快速滚过：咚轰+虫群嗡鸣被压成咻声；瞬间停顿0.2秒","三只虫队都要可辨认；不要爆炸；不要恶心虫群；不要角色消失"
"scene_004_a","00:35-00:39","4s","巨鼓象恢复本体","中远景/正面/缓慢停住","巨鼓象、九只被压扁精灵","巨鼓象：刚刚是不是经过了什么。","场地安静；冰面一片、斑马线沙路一条、虫群风阻线一排；九只精灵都安全地变成扁扁毛绒薄片贴在场地上；巨鼓象停住并收回战鼓车轮结构","first_frames_v2/scene_004_a_first.png","","首帧图生视频","机械收回声+战鼓声停止；台词后保留一拍安静","巨鼓象恢复本体但保持原角色特征；不要说话口型；九只薄片尽量都能识别"
"scene_004_b","00:39-00:44","5s","无声反差收尾","中近景/巨鼓象看镜头/背景压扁全景","巨鼓象、九只被压扁精灵","","巨鼓象低头看地面，再抬头看向镜头，表情无辜；身后一地三队毛绒薄片；画面荒诞安静","first_frames_v2/scene_004_b_first.png","","首帧图生视频","无对白；只留轻微呼吸和尴尬停顿；可加短促木鱼/停顿音效","巨鼓象不要开口；不要文字；背景保留三种被压平痕迹"
"scene_004_c","00:44-00:45","1s","收尾定格","定格近景/轻微呼吸或完全静帧","巨鼓象、九只被压扁精灵","","巨鼓象保持无辜表情，镜头定格在它和一地毛绒薄片上，用最后一拍空白完成笑点","first_frames_v2/scene_004_c_first.png","","静帧或首帧轻动效","最后一拍静默；可直接接片尾或封面","保留字幕安全区；不要新增文字；不要UI"
