"clip_id","对应分镜","首帧路径","尾帧路径","台词","运动重点","Seedance方式","备注"
"scene_001_a","scene_001_a","AI漫剧/002/04_图片/first_frames_v2/scene_001_a_first.png","","无对白开场","闪耀大赛赛场空镜轻微推近，地面轻微震动，远处战鼓声临近","首帧","可用音效强化；不要出现字幕"
"scene_001_b","scene_001_b","AI漫剧/002/04_图片/first_frames_v2/scene_001_b_first.png","","雪影娃娃：雪天已经下起来了，你们最好别站太久，不然就把你们全冻住咯。","雪天队三精灵正面登场，雪花铺开，雪影娃娃轻微说话口型","首帧","口型克制；雪巨人和月牙雪熊只做轻微待机；不要把雪影娃娃画成蓝发人偶"
"scene_001_c","scene_001_c","AI漫剧/002/04_图片/first_frames_v2/scene_001_c_first.png","","布克棱岩：让我把沙尘暴开出来让你们试试无限地刺的厉害。","沙暴队三精灵正面登场，沙暴、地刺和棋盘布局缓慢形成，布克棱岩轻微说话口型","首帧","口型克制；不要换成其他岩石精灵；不要把布克棱岩画成虫形或紫色兽"
"scene_001_d","scene_001_d","AI漫剧/002/04_图片/first_frames_v2/scene_001_d_first.png","","女王蜂、花衣蝶、铠甲虫：我们不是区。","虫群包围网形成，三只虫队精灵一起轻微说话口型，花衣蝶轻微飞动，铠甲虫守住阵型","首帧","虫群不要恐怖；角色不要乱飞"
"scene_002_a","scene_002_a","AI漫剧/002/04_图片/first_frames_v2/scene_002_a_first.png","","女王蜂：先停一下！这是什么动静？ / 雪影娃娃：好像是打鼓的声音。","三队九只精灵在闪耀大赛赛场卡通式互殴，雪花、地刺、沙尘、虫群乱飞；地面震动后混战突然停住，三队代表警觉看向赛场入口","首帧","巨鼓象不要完全出现；互殴不表现受伤；保留悬念；两句短台词依次后期配音字幕"
"scene_002_b","scene_002_b","AI漫剧/002/04_图片/first_frames_v2/scene_002_b_first.png","","巨鼓象：麻烦借过一下，我停不下来啊！","巨鼓象战鼓车轮形态从赛场入口滚入，动作像正常路过，表情慌而不凶，轻微说话口型","首帧","避免变成汽车；不要变成普通轮胎；保留巨鼓象本体和象鼻"
"scene_003_a","scene_003_a","AI漫剧/002/04_图片/first_frames_v2/scene_003_a_first.png","","无对白","巨鼓象从左到右快速滚过，右侧雪天队瞬间变成扁扁卡通毛绒薄片，1-2秒完成","首帧","包袱点一；速度快；压扁不表现伤害"
"scene_003_b","scene_003_b","AI漫剧/002/04_图片/first_frames_v2/scene_003_b_first.png","","无对白","巨鼓象从左到右快速滚过，右侧沙暴队瞬间变成扁扁毛绒薄片，地刺和战术线被压成斑马线，1-2秒完成","首帧","包袱点二；速度快；不要换成其他棋类精灵；压扁不表现伤害"
"scene_003_c","scene_003_c","AI漫剧/002/04_图片/first_frames_v2/scene_003_c_first.png","","无对白","巨鼓象从左到右快速滚过，右侧虫队瞬间变成扁扁毛绒薄片，虫群包围网被压成风阻线，1-2秒完成","首帧","包袱点三；速度快；不要爆炸和受伤"
"scene_004_a","scene_004_a","AI漫剧/002/04_图片/first_frames_v2/scene_004_a_first.png","","巨鼓象：刚刚是不是经过了什么。","巨鼓象停住，战鼓车轮结构收回到本体，九只精灵都安全地变成扁扁毛绒薄片贴在场地上","首帧","结尾反差；巨鼓象轻微口型；台词后留静默"
"scene_004_b","scene_004_b","AI漫剧/002/04_图片/first_frames_v2/scene_004_b_first.png","","无对白","巨鼓象无辜看向镜头，身后一地被压平的三队精灵毛绒薄片，镜头保持稳定","首帧","后期用音效和停顿完成笑点"
"scene_004_c","scene_004_c","AI漫剧/002/04_图片/first_frames_v2/scene_004_c_first.png","","无对白","巨鼓象和一地毛绒薄片定格，只保留轻微呼吸或静帧","静帧/首帧","片尾停顿；不要生成文字"
