"rank","number","name","magic_attack","stats_total","hp","physical_attack","physical_defense","magic_defense","speed","image_url","source_url"
"1","117","彩虹独角兽","192","643","99","78","77","92","105","https://patchwiki.biligame.com/images/rocom/f/fe/bpf3jqzgjp0t47cqro78txddkoh70b4.png","https://wiki.biligame.com/rocom/%E5%BD%A9%E8%99%B9%E7%8B%AC%E8%A7%92%E5%85%BD"
"2","204","伊兰龙","190","651","112","91","69","99","90","https://patchwiki.biligame.com/images/rocom/0/01/l6x36cg23ukq4oqounv006bosvwuhsd.png","https://wiki.biligame.com/rocom/%E4%BC%8A%E5%85%B0%E9%BE%99"
"3","204","伊兰亚龙","190","651","112","91","69","99","90","https://patchwiki.biligame.com/images/rocom/d/df/o0eh3mugruyhxfjm57xlzjqq4y1hki3.png","https://wiki.biligame.com/rocom/%E4%BC%8A%E5%85%B0%E4%BA%9A%E9%BE%99"
"4","341","雅丹鬃","162","639","83","70","88","111","125","https://patchwiki.biligame.com/images/rocom/c/c2/1qy2ib6i9lr8p6c9gh8mfuo0df9a1tb.png","https://wiki.biligame.com/rocom/%E9%9B%85%E4%B8%B9%E9%AC%83"
"5","117","白金独角兽","161","595","99","61","77","92","105","https://patchwiki.biligame.com/images/rocom/b/b0/6mn7g1bmit3kop684uwf2ns9tg4rsed.png","https://wiki.biligame.com/rocom/%E7%99%BD%E9%87%91%E7%8B%AC%E8%A7%92%E5%85%BD"
"6","203","伊雷龙","152","521","90","73","55","79","72","https://patchwiki.biligame.com/images/rocom/6/66/iq3mle7m6g6cwmo5u0xh5afcf6fzsmd.png","https://wiki.biligame.com/rocom/%E4%BC%8A%E9%9B%B7%E9%BE%99"
"7","359","音碟吼","151","661","116","94","63","127","110","https://patchwiki.biligame.com/images/rocom/7/70/as6gc3vymzfws67futqaq3ymyr1ftbl.png","https://wiki.biligame.com/rocom/%E9%9F%B3%E7%A2%9F%E5%90%BC"
"8","286","圣剑骑士","148","920","187","154","183","183","65","https://patchwiki.biligame.com/images/rocom/d/d7/0r5ms0ty1nonumnkva1hocjqhiiokkb.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91%E9%AA%91%E5%A3%AB"
"9","336","粉耳星兔","148","642","100","79","73","127","115","https://patchwiki.biligame.com/images/rocom/1/12/dfrmcjhoft7x9ne5xiint27n3ustjzx.png","https://wiki.biligame.com/rocom/%E7%B2%89%E8%80%B3%E6%98%9F%E5%85%94"
"10","220","海枝枝（碧蓝珊瑚）","148","610","78","58","96","120","110","https://patchwiki.biligame.com/images/rocom/5/5b/efwbtnaynmpx9y85y1obfzoch17c5do.png","https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E7%A2%A7%E8%93%9D%E7%8F%8A%E7%91%9A%EF%BC%89"
"11","364","小丑公爵","147","729","111","145","82","124","120","https://patchwiki.biligame.com/images/rocom/b/bc/h4vncmj120kkvze5r3v09mn3r83cyxl.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E4%B8%91%E5%85%AC%E7%88%B5"
"12","010","圣水守护","141","667","125","67","104","145","85","https://patchwiki.biligame.com/images/rocom/f/f5/fzch3e2qtlrly3p0mvgoc4287dgt2gf.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E6%B0%B4%E5%AE%88%E6%8A%A4"
"13","286","圣剑-X","139","868","174","144","173","173","65","https://patchwiki.biligame.com/images/rocom/8/8d/k36fgnkefvfbntgmo6joyjmh9ji1bt7.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91-X"
