"rank","number","name","physical_attack","stats_total","hp","magic_attack","physical_defense","magic_defense","speed","image_url","source_url"
"1","192","棋契陛下","200","761","90","91","140","115","125","https://patchwiki.biligame.com/images/rocom/f/fa/ihoz48rv7tlsoh4um8m4f3fyvk0p56r.png","https://wiki.biligame.com/rocom/%E6%A3%8B%E5%A5%91%E9%99%9B%E4%B8%8B"
"2","007","烈火战神","175","672","117","84","94","72","130","https://patchwiki.biligame.com/images/rocom/6/6a/hacle5ni5exjxhg13fofbitd0i3xw00.png","https://wiki.biligame.com/rocom/%E7%83%88%E7%81%AB%E6%88%98%E7%A5%9E"
"3","136","雪巨人","174","718","162","79","139","104","60","https://patchwiki.biligame.com/images/rocom/a/ae/jppthxewnslz9d16550t3owv0hf3emx.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E5%B7%A8%E4%BA%BA"
"4","251","火焰猿","162","715","167","72","143","111","60","https://patchwiki.biligame.com/images/rocom/4/49/jzlbg7v46fd5m04k2732qml7t64y3a0.png","https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E7%8C%BF"
"5","302","画间沉铁兽","160","608","100","67","100","76","105","https://patchwiki.biligame.com/images/rocom/6/61/g4rq03yecy8xudglhc96lhi5ie4zri4.png","https://wiki.biligame.com/rocom/%E7%94%BB%E9%97%B4%E6%B2%89%E9%93%81%E5%85%BD"
"6","107","罗隐","159","601","107","78","112","70","75","https://patchwiki.biligame.com/images/rocom/3/38/495925un1xk6eioymvva969ahadlk3m.png","https://wiki.biligame.com/rocom/%E7%BD%97%E9%9A%90"
"7","260","乌拉塔（极夜的样子）","158","622","160","91","106","57","50","https://patchwiki.biligame.com/images/rocom/9/9f/d5gtn8k9ptnttbxmlo0pndyiy61wdsu.png","https://wiki.biligame.com/rocom/%E4%B9%8C%E6%8B%89%E5%A1%94%EF%BC%88%E6%9E%81%E5%A4%9C%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"8","260","乌拉塔（极昼的样子）","158","615","134","82","116","70","55","https://patchwiki.biligame.com/images/rocom/e/e9/2j3t5mjcljnsc1hw72btjrebq8td3ug.png","https://wiki.biligame.com/rocom/%E4%B9%8C%E6%8B%89%E5%A1%94%EF%BC%88%E6%9E%81%E6%98%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"9","075","瞌睡王","157","685","144","64","135","110","75","https://patchwiki.biligame.com/images/rocom/a/a2/64947rnxu8ncihl37rqldr3653bg57n.png","https://wiki.biligame.com/rocom/%E7%9E%8C%E7%9D%A1%E7%8E%8B"
"10","286","圣剑骑士","154","920","187","148","183","183","65","https://patchwiki.biligame.com/images/rocom/d/d7/0r5ms0ty1nonumnkva1hocjqhiiokkb.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91%E9%AA%91%E5%A3%AB"
"11","215","恶魔红钻","147","666","100","137","93","74","115","https://patchwiki.biligame.com/images/rocom/1/14/ow13sxw8jyv8sq7bhtvxn7yjl8mo88m.png","https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%BA%A2%E9%92%BB"
"12","312","疾光千兽","146","612","104","67","112","73","110","https://patchwiki.biligame.com/images/rocom/b/ba/18st3mhvamod8xnva8rybnme9cgkc9b.png","https://wiki.biligame.com/rocom/%E7%96%BE%E5%85%89%E5%8D%83%E5%85%BD"
"13","364","小丑公爵","145","729","111","147","82","124","120","https://patchwiki.biligame.com/images/rocom/b/bc/h4vncmj120kkvze5r3v09mn3r83cyxl.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E4%B8%91%E5%85%AC%E7%88%B5"
"14","286","圣剑-X","144","868","174","139","173","173","65","https://patchwiki.biligame.com/images/rocom/8/8d/k36fgnkefvfbntgmo6joyjmh9ji1bt7.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91-X"
"15","020","霜翼领主","142","592","90","63","108","74","115","https://patchwiki.biligame.com/images/rocom/1/15/epj3pmupds3fqc45iw7zisp9s957w62.png","https://wiki.biligame.com/rocom/%E9%9C%9C%E7%BF%BC%E9%A2%86%E4%B8%BB"
"16","031","叮叮恶魔","140","598","125","70","89","69","105","https://patchwiki.biligame.com/images/rocom/0/0b/o9iqtz0rdzb2rkqkewx4v29qya3rknq.png","https://wiki.biligame.com/rocom/%E5%8F%AE%E5%8F%AE%E6%81%B6%E9%AD%94"
"17","029","迷嶂布莱克","139","704","125","52","164","154","70","https://patchwiki.biligame.com/images/rocom/8/80/dyd0s9we1cd554cbcxlq27vvrgwo8mw.png","https://wiki.biligame.com/rocom/%E8%BF%B7%E5%B6%82%E5%B8%83%E8%8E%B1%E5%85%8B"
"18","155","针叶巡林","139","634","105","57","128","100","105","https://patchwiki.biligame.com/images/rocom/e/ea/3rpguccru3cfly322suefeqa3oy62vv.png","https://wiki.biligame.com/rocom/%E9%92%88%E5%8F%B6%E5%B7%A1%E6%9E%97"
"19","135","雪蛮人","139","574","130","63","111","83","48","https://patchwiki.biligame.com/images/rocom/e/e4/5jcbqvkc428abblnglyk3ok9nppvy4z.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E8%9B%AE%E4%BA%BA"
"20","290","寂灭骨龙","137","552","120","50","104","81","60","https://patchwiki.biligame.com/images/rocom/3/31/g9815x8kx47nbavj9mcolhexofrpulc.png","https://wiki.biligame.com/rocom/%E5%AF%82%E7%81%AD%E9%AA%A8%E9%BE%99"
"21","029","布克棱岩","135","683","120","49","159","150","70","https://patchwiki.biligame.com/images/rocom/5/54/108j9nm783krd2nenbkyvvgy2xkgoso.png","https://wiki.biligame.com/rocom/%E5%B8%83%E5%85%8B%E6%A3%B1%E5%B2%A9"
"22","265","立方人","135","605","103","54","127","101","85","https://patchwiki.biligame.com/images/rocom/0/09/fnsx2e888qucax28zooe75tenxxgmkx.png","https://wiki.biligame.com/rocom/%E7%AB%8B%E6%96%B9%E4%BA%BA"
"23","011","鸭吉吉国王","135","569","136","50","79","64","105","https://patchwiki.biligame.com/images/rocom/9/95/q0mtucowyppqrj7uhrlim51von6qi83.png","https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%E5%9B%BD%E7%8E%8B"
"24","020","岚鸟（夏天的样子）","133","566","99","54","96","69","115","https://patchwiki.biligame.com/images/rocom/7/7b/aqr0u8eiajno6zwl4j8o3nmi9z6vmyv.png","https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E5%A4%8F%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"25","164","怒目怂猫","132","651","92","126","111","95","95","https://patchwiki.biligame.com/images/rocom/0/08/0jj0vlt3qpo3dp9gha2nj5tbnydfvjp.png","https://wiki.biligame.com/rocom/%E6%80%92%E7%9B%AE%E6%80%82%E7%8C%AB"
"26","269","武者鸡","132","610","105","98","92","88","95","https://patchwiki.biligame.com/images/rocom/d/d5/j89f9kespq4zwjb6h67ew9wvsnd88g0.png","https://wiki.biligame.com/rocom/%E6%AD%A6%E8%80%85%E9%B8%A1"
"27","241","龙鱼","131","674","77","113","122","106","125","https://patchwiki.biligame.com/images/rocom/1/1b/9pwwn6fecfi32vefzwgmfcpftbkfvxi.png","https://wiki.biligame.com/rocom/%E9%BE%99%E9%B1%BC"
"28","250","炽热猿","130","572","133","57","115","89","48","https://patchwiki.biligame.com/images/rocom/a/ad/rbo5f373p1xc6t0e8mc6vtnxu6d1dqy.png","https://wiki.biligame.com/rocom/%E7%82%BD%E7%83%AD%E7%8C%BF"
