"rank","number","name","hp","stats_total","physical_attack","magic_attack","physical_defense","magic_defense","speed","image_url","source_url"
"1","202","鳗尾兽","290","788","91","91","138","113","65","https://patchwiki.biligame.com/images/rocom/d/dd/74c75nqv3qyl9jwto5rvywya5suqd2d.png","https://wiki.biligame.com/rocom/%E9%B3%97%E5%B0%BE%E5%85%BD"
"2","201","花怨鳗","232","630","73","73","110","90","52","https://patchwiki.biligame.com/images/rocom/0/02/167gulpq7gmilrurzc4r0yattm4ai8z.png","https://wiki.biligame.com/rocom/%E8%8A%B1%E6%80%A8%E9%B3%97"
"3","286","圣剑骑士","187","920","154","148","183","183","65","https://patchwiki.biligame.com/images/rocom/d/d7/0r5ms0ty1nonumnkva1hocjqhiiokkb.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91%E9%AA%91%E5%A3%AB"
"4","286","圣剑-X","174","868","144","139","173","173","65","https://patchwiki.biligame.com/images/rocom/8/8d/k36fgnkefvfbntgmo6joyjmh9ji1bt7.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91-X"
"5","251","火焰猿","167","715","162","72","143","111","60","https://patchwiki.biligame.com/images/rocom/4/49/jzlbg7v46fd5m04k2732qml7t64y3a0.png","https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E7%8C%BF"
"6","136","雪巨人","162","718","174","79","139","104","60","https://patchwiki.biligame.com/images/rocom/a/ae/jppthxewnslz9d16550t3owv0hf3emx.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E5%B7%A8%E4%BA%BA"
"7","260","乌拉塔（极夜的样子）","160","622","158","91","106","57","50","https://patchwiki.biligame.com/images/rocom/9/9f/d5gtn8k9ptnttbxmlo0pndyiy61wdsu.png","https://wiki.biligame.com/rocom/%E4%B9%8C%E6%8B%89%E5%A1%94%EF%BC%88%E6%9E%81%E5%A4%9C%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"8","062","巨噬针鼹","158","562","93","41","117","68","85","https://patchwiki.biligame.com/images/rocom/b/bf/kh1j7ti0ytu5d4nvr4te6kqakcclvx6.png","https://wiki.biligame.com/rocom/%E5%B7%A8%E5%99%AC%E9%92%88%E9%BC%B9"
"9","122","黑猫密探","149","621","65","118","90","129","70","https://patchwiki.biligame.com/images/rocom/5/50/bpobcq4lgfb7e4m0wy3dy5esbqn8hmt.png","https://wiki.biligame.com/rocom/%E9%BB%91%E7%8C%AB%E5%AF%86%E6%8E%A2"
"10","122","黑猫巫师","149","615","53","124","90","129","70","https://patchwiki.biligame.com/images/rocom/c/cb/9uippciulkrlx979x5xnv9aqoprjcek.png","https://wiki.biligame.com/rocom/%E9%BB%91%E7%8C%AB%E5%B7%AB%E5%B8%88"
"11","014","水泡壳（蜕皮时的样子）","146","577","39","121","93","98","80","https://patchwiki.biligame.com/images/rocom/3/3b/q3czw9wpfsxp68fq5lf32fqcl7jxynl.png","https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A1%E5%A3%B3%EF%BC%88%E8%9C%95%E7%9A%AE%E6%97%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"12","084","花魁蜂后","145","382","54","49","45","45","44","https://patchwiki.biligame.com/images/rocom/7/7c/la0ecwe4eufml69boq4366g7gbnfra1.png","https://wiki.biligame.com/rocom/%E8%8A%B1%E9%AD%81%E8%9C%82%E5%90%8E"
"13","084","女王蜂","145","364","50","45","42","42","40","https://patchwiki.biligame.com/images/rocom/b/b9/ld17fiy8lz2xf36dr203adnux051q7i.png","https://wiki.biligame.com/rocom/%E5%A5%B3%E7%8E%8B%E8%9C%82"
"14","075","瞌睡王","144","685","157","64","135","110","75","https://patchwiki.biligame.com/images/rocom/a/a2/64947rnxu8ncihl37rqldr3653bg57n.png","https://wiki.biligame.com/rocom/%E7%9E%8C%E7%9D%A1%E7%8E%8B"
"15","213","寒音蛇（本来的样子）","141","623","89","89","90","114","100","https://patchwiki.biligame.com/images/rocom/9/9b/pij7rej26vdekdc90n4xaep64r1011l.png","https://wiki.biligame.com/rocom/%E5%AF%92%E9%9F%B3%E8%9B%87%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"16","285","圣剑侍从","139","696","116","111","139","139","52","https://patchwiki.biligame.com/images/rocom/1/1d/6w4z6k41648qw2uagnoz0ac081trrgi.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91%E4%BE%8D%E4%BB%8E"
"17","211","迷迷箱怪","138","782","129","129","153","153","80","https://patchwiki.biligame.com/images/rocom/0/01/g7z9d41f10oqqtxn42417tov8gcg4bo.png","https://wiki.biligame.com/rocom/%E8%BF%B7%E8%BF%B7%E7%AE%B1%E6%80%AA"
"18","158","炽心勇狮","137","597","51","111","88","130","80","https://patchwiki.biligame.com/images/rocom/9/98/1jj3iwg4l6yjpl6zfizm3jz7rmbqe7q.png","https://wiki.biligame.com/rocom/%E7%82%BD%E5%BF%83%E5%8B%87%E7%8B%AE"
"19","053","嘟嘟锅","137","573","36","102","89","104","105","https://patchwiki.biligame.com/images/rocom/2/2a/bn409ikm4m2ir8inziq4jgl12f1lk53.png","https://wiki.biligame.com/rocom/%E5%98%9F%E5%98%9F%E9%94%85"
"20","011","鸭吉吉（等一等鸭）","137","469","35","94","46","57","100","https://patchwiki.biligame.com/images/rocom/d/dc/1prqafj7lzcp75byt1ttvpfoblncbrg.png","https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%AD%89%E4%B8%80%E7%AD%89%E9%B8%AD%EF%BC%89"
"21","011","鸭吉吉国王","136","569","135","50","79","64","105","https://patchwiki.biligame.com/images/rocom/9/95/q0mtucowyppqrj7uhrlim51von6qi83.png","https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%E5%9B%BD%E7%8E%8B"
"22","011","鸭吉吉（紧实的样子）","136","471","35","95","45","55","105","https://patchwiki.biligame.com/images/rocom/f/fd/eewpeu21i6fzcqfcnez834gvppirdw8.png","https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%B4%A7%E5%AE%9E%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"23","011","鸭吉吉（蓬松的样子）","136","471","95","35","55","45","105","https://patchwiki.biligame.com/images/rocom/9/9b/lsgonow9dtf4nlte0094yq43stn0nrv.png","https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E8%93%AC%E6%9D%BE%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"24","326","燃薪虫","135","579","120","48","103","73","100","https://patchwiki.biligame.com/images/rocom/8/88/h3usttwjdsh4q3vn5t2st0g24nlv4go.png","https://wiki.biligame.com/rocom/%E7%87%83%E8%96%AA%E8%99%AB"
"25","260","乌拉塔（极昼的样子）","134","615","158","82","116","70","55","https://patchwiki.biligame.com/images/rocom/e/e9/2j3t5mjcljnsc1hw72btjrebq8td3ug.png","https://wiki.biligame.com/rocom/%E4%B9%8C%E6%8B%89%E5%A1%94%EF%BC%88%E6%9E%81%E6%98%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"26","245","琉璃水母","134","580","37","85","93","136","95","https://patchwiki.biligame.com/images/rocom/d/de/k7nubtsz7deg1n4u2a960xgw7z7awlo.png","https://wiki.biligame.com/rocom/%E7%90%89%E7%92%83%E6%B0%B4%E6%AF%8D"
"27","372","巨鼓象","133","675","125","79","173","85","80","https://patchwiki.biligame.com/images/rocom/b/be/gme0i4md3g3rianh5x6xdk60j4p3jhz.png","https://wiki.biligame.com/rocom/%E5%B7%A8%E9%BC%93%E8%B1%A1"
"28","250","炽热猿","133","572","130","57","115","89","48","https://patchwiki.biligame.com/images/rocom/a/ad/rbo5f373p1xc6t0e8mc6vtnxu6d1dqy.png","https://wiki.biligame.com/rocom/%E7%82%BD%E7%83%AD%E7%8C%BF"
"29","315","椰浆布丁","133","562","34","89","81","105","120","https://patchwiki.biligame.com/images/rocom/8/82/m4mfzkpmvl06onmtxu9sqwrpwar1jix.png","https://wiki.biligame.com/rocom/%E6%A4%B0%E6%B5%86%E5%B8%83%E4%B8%81"
"30","152","圣羽翼王","132","686","109","109","128","83","125","https://patchwiki.biligame.com/images/rocom/4/40/lbxi6r2yicliuipn8dp7n5pk90xfjo4.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E7%BE%BD%E7%BF%BC%E7%8E%8B"
"31","091","黑羽夫人","132","652","93","87","130","90","120","https://patchwiki.biligame.com/images/rocom/6/63/6f0vzmzh3c2vr7vu4cli5ppzwcf18di.png","https://wiki.biligame.com/rocom/%E9%BB%91%E7%BE%BD%E5%A4%AB%E4%BA%BA"
"32","334","贝古斯","132","641","76","130","85","163","55","https://patchwiki.biligame.com/images/rocom/0/0d/8cvnsom0kdicxcvjnut1lewivnuxgr2.png","https://wiki.biligame.com/rocom/%E8%B4%9D%E5%8F%A4%E6%96%AF"
"33","375","学院呱呱","132","614","99","99","92","92","100","https://patchwiki.biligame.com/images/rocom/e/ed/5iykheuen7ytwki234zxp26ybmvsz7a.png","https://wiki.biligame.com/rocom/%E5%AD%A6%E9%99%A2%E5%91%B1%E5%91%B1"
"34","176","九幽菇","131","548","72","65","107","103","70","https://patchwiki.biligame.com/images/rocom/7/7a/n1t0h2rav7kjmjssgf2ctnahj8vaf0u.png","https://wiki.biligame.com/rocom/%E4%B9%9D%E5%B9%BD%E8%8F%87"
"35","144","雪影冰灵","130","650","120","114","66","130","90","https://patchwiki.biligame.com/images/rocom/b/b5/q1m8ksutjvlfrfkjqd3o4hda5mac1es.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E5%BD%B1%E5%86%B0%E7%81%B5"
"36","295","龙息帕尔","130","632","127","57","131","87","100","https://patchwiki.biligame.com/images/rocom/0/0f/q0bwy4syzqav082nqhy9tl7i8hsirz4.png","https://wiki.biligame.com/rocom/%E9%BE%99%E6%81%AF%E5%B8%95%E5%B0%94"
"37","144","雪影娃娃","130","617","103","98","66","130","90","https://patchwiki.biligame.com/images/rocom/1/12/ixakouy2o2kjsl0ytlhtdzhoukgoq3o.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E5%BD%B1%E5%A8%83%E5%A8%83"
"38","135","雪蛮人","130","574","139","63","111","83","48","https://patchwiki.biligame.com/images/rocom/e/e4/5jcbqvkc428abblnglyk3ok9nppvy4z.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E8%9B%AE%E4%BA%BA"
