"rank","number","name","stats_total","hp","physical_attack","magic_attack","physical_defense","magic_defense","speed","image_url","source_url"
"1","286","圣剑骑士","920","187","154","148","183","183","65","https://patchwiki.biligame.com/images/rocom/d/d7/0r5ms0ty1nonumnkva1hocjqhiiokkb.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91%E9%AA%91%E5%A3%AB"
"2","286","圣剑-X","868","174","144","139","173","173","65","https://patchwiki.biligame.com/images/rocom/8/8d/k36fgnkefvfbntgmo6joyjmh9ji1bt7.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91-X"
"3","202","鳗尾兽","788","290","91","91","138","113","65","https://patchwiki.biligame.com/images/rocom/d/dd/74c75nqv3qyl9jwto5rvywya5suqd2d.png","https://wiki.biligame.com/rocom/%E9%B3%97%E5%B0%BE%E5%85%BD"
"4","211","迷迷箱怪","782","138","129","129","153","153","80","https://patchwiki.biligame.com/images/rocom/0/01/g7z9d41f10oqqtxn42417tov8gcg4bo.png","https://wiki.biligame.com/rocom/%E8%BF%B7%E8%BF%B7%E7%AE%B1%E6%80%AA"
"5","192","棋契陛下","761","90","200","91","140","115","125","https://patchwiki.biligame.com/images/rocom/f/fa/ihoz48rv7tlsoh4um8m4f3fyvk0p56r.png","https://wiki.biligame.com/rocom/%E6%A3%8B%E5%A5%91%E9%99%9B%E4%B8%8B"
"6","364","小丑公爵","729","111","145","147","82","124","120","https://patchwiki.biligame.com/images/rocom/b/bc/h4vncmj120kkvze5r3v09mn3r83cyxl.png","https://wiki.biligame.com/rocom/%E5%B0%8F%E4%B8%91%E5%85%AC%E7%88%B5"
"7","136","雪巨人","718","162","174","79","139","104","60","https://patchwiki.biligame.com/images/rocom/a/ae/jppthxewnslz9d16550t3owv0hf3emx.png","https://wiki.biligame.com/rocom/%E9%9B%AA%E5%B7%A8%E4%BA%BA"
"8","251","火焰猿","715","167","162","72","143","111","60","https://patchwiki.biligame.com/images/rocom/4/49/jzlbg7v46fd5m04k2732qml7t64y3a0.png","https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E7%8C%BF"
"9","029","迷嶂布莱克","704","125","139","52","164","154","70","https://patchwiki.biligame.com/images/rocom/8/80/dyd0s9we1cd554cbcxlq27vvrgwo8mw.png","https://wiki.biligame.com/rocom/%E8%BF%B7%E5%B6%82%E5%B8%83%E8%8E%B1%E5%85%8B"
"10","285","圣剑侍从","696","139","116","111","139","139","52","https://patchwiki.biligame.com/images/rocom/1/1d/6w4z6k41648qw2uagnoz0ac081trrgi.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E5%89%91%E4%BE%8D%E4%BB%8E"
"11","110","彩蝶鲨","692","115","101","101","125","125","125","https://patchwiki.biligame.com/images/rocom/5/51/eeqyrw3rswylx1c4sc3kxpzfgu5yqgm.png","https://wiki.biligame.com/rocom/%E5%BD%A9%E8%9D%B6%E9%B2%A8"
"12","110","神谕鲨","692","115","101","101","125","125","125","https://patchwiki.biligame.com/images/rocom/8/87/5os1votqyvev5zau69526mk128ggh29.png","https://wiki.biligame.com/rocom/%E7%A5%9E%E8%B0%95%E9%B2%A8"
"13","152","圣羽翼王","686","132","109","109","128","83","125","https://patchwiki.biligame.com/images/rocom/4/40/lbxi6r2yicliuipn8dp7n5pk90xfjo4.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E7%BE%BD%E7%BF%BC%E7%8E%8B"
"14","043","奇丽果","686","112","128","128","133","105","80","https://patchwiki.biligame.com/images/rocom/0/02/34mpv4ti9cwjytjgw6d8wt5q0vn5d86.png","https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E6%9E%9C"
"15","075","瞌睡王","685","144","157","64","135","110","75","https://patchwiki.biligame.com/images/rocom/a/a2/64947rnxu8ncihl37rqldr3653bg57n.png","https://wiki.biligame.com/rocom/%E7%9E%8C%E7%9D%A1%E7%8E%8B"
"16","200","奇梦咪","684","81","128","119","123","123","110","https://patchwiki.biligame.com/images/rocom/2/2f/avu0fx5ey1z75o1j6o9bnbqle8lxy2b.png","https://wiki.biligame.com/rocom/%E5%A5%87%E6%A2%A6%E5%92%AA"
"17","361","加油蟹","683","116","108","108","128","128","95","https://patchwiki.biligame.com/images/rocom/b/b7/bwgqo7846qudxrgaec4wvjdbqvddije.png","https://wiki.biligame.com/rocom/%E5%8A%A0%E6%B2%B9%E8%9F%B9"
"18","029","布克棱岩","683","120","135","49","159","150","70","https://patchwiki.biligame.com/images/rocom/5/54/108j9nm783krd2nenbkyvvgy2xkgoso.png","https://wiki.biligame.com/rocom/%E5%B8%83%E5%85%8B%E6%A3%B1%E5%B2%A9"
