"rank","number","name","speed","stats_total","hp","physical_attack","magic_attack","physical_defense","magic_defense","image_url","source_url"
"1","272","噼啪鸟","145","618","78","116","109","85","85","https://patchwiki.biligame.com/images/rocom/5/5f/67uopai58qg98apg0dci57gi1bgxhn4.png","https://wiki.biligame.com/rocom/%E5%99%BC%E5%95%AA%E9%B8%9F"
"2","081","星光狮（星光能量的样子）","135","617","75","101","106","90","110","https://patchwiki.biligame.com/images/rocom/7/75/cjjrzihw6bz4uzfdn1npim98tas9p21.png","https://wiki.biligame.com/rocom/%E6%98%9F%E5%85%89%E7%8B%AE%EF%BC%88%E6%98%9F%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"3","104","魔眷鸟","135","551","87","113","34","94","88","https://patchwiki.biligame.com/images/rocom/7/76/qdoq3s6blcshbk7z6iki63glfphv1ap.png","https://wiki.biligame.com/rocom/%E9%AD%94%E7%9C%B7%E9%B8%9F"
"4","292","厉毒修萝","135","495","84","80","21","101","74","https://patchwiki.biligame.com/images/rocom/5/52/fnxayt7dshqnrygae3kr64v1gs4wcws.png","https://wiki.biligame.com/rocom/%E5%8E%89%E6%AF%92%E4%BF%AE%E8%90%9D"
"5","046","卡瓦重（雪山附近的样子）","135","446","77","68","14","79","73","https://patchwiki.biligame.com/images/rocom/4/47/it101lv362eif65za2mmgzo83xbevhe.png","https://wiki.biligame.com/rocom/%E5%8D%A1%E7%93%A6%E9%87%8D%EF%BC%88%E9%9B%AA%E5%B1%B1%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"6","007","烈火战神","130","672","117","175","84","94","72","https://patchwiki.biligame.com/images/rocom/6/6a/hacle5ni5exjxhg13fofbitd0i3xw00.png","https://wiki.biligame.com/rocom/%E7%83%88%E7%81%AB%E6%88%98%E7%A5%9E"
"7","337","落陨星兔","130","637","93","61","125","87","141","https://patchwiki.biligame.com/images/rocom/8/86/jeo10wvmxho14u7cdmib8272dqfuzpr.png","https://wiki.biligame.com/rocom/%E8%90%BD%E9%99%A8%E6%98%9F%E5%85%94"
"8","124","影狸","130","616","97","109","105","105","70","https://patchwiki.biligame.com/images/rocom/5/50/cwmitfohkag0d2t5zfu055dhwrm4vxk.png","https://wiki.biligame.com/rocom/%E5%BD%B1%E7%8B%B8"
"9","282","秩序鱿墨","130","604","78","120","39","124","113","https://patchwiki.biligame.com/images/rocom/f/fa/hcovzifwgad156lg6jwk02nd4nhsckv.png","https://wiki.biligame.com/rocom/%E7%A7%A9%E5%BA%8F%E9%B1%BF%E5%A2%A8"
"10","046","卡瓦重（草地附近的样子）","130","447","74","75","20","81","67","https://patchwiki.biligame.com/images/rocom/9/95/ofh2y3cjn996jnxvajei3j5m1jole74.png","https://wiki.biligame.com/rocom/%E5%8D%A1%E7%93%A6%E9%87%8D%EF%BC%88%E8%8D%89%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
"11","192","棋契陛下","125","761","90","200","91","140","115","https://patchwiki.biligame.com/images/rocom/f/fa/ihoz48rv7tlsoh4um8m4f3fyvk0p56r.png","https://wiki.biligame.com/rocom/%E6%A3%8B%E5%A5%91%E9%99%9B%E4%B8%8B"
"12","110","彩蝶鲨","125","692","115","101","101","125","125","https://patchwiki.biligame.com/images/rocom/5/51/eeqyrw3rswylx1c4sc3kxpzfgu5yqgm.png","https://wiki.biligame.com/rocom/%E5%BD%A9%E8%9D%B6%E9%B2%A8"
"13","110","神谕鲨","125","692","115","101","101","125","125","https://patchwiki.biligame.com/images/rocom/8/87/5os1votqyvev5zau69526mk128ggh29.png","https://wiki.biligame.com/rocom/%E7%A5%9E%E8%B0%95%E9%B2%A8"
"14","152","圣羽翼王","125","686","132","109","109","128","83","https://patchwiki.biligame.com/images/rocom/4/40/lbxi6r2yicliuipn8dp7n5pk90xfjo4.png","https://wiki.biligame.com/rocom/%E5%9C%A3%E7%BE%BD%E7%BF%BC%E7%8E%8B"
"15","241","龙鱼","125","674","77","131","113","122","106","https://patchwiki.biligame.com/images/rocom/1/1b/9pwwn6fecfi32vefzwgmfcpftbkfvxi.png","https://wiki.biligame.com/rocom/%E9%BE%99%E9%B1%BC"
"16","341","雅丹鬃","125","639","83","70","162","88","111","https://patchwiki.biligame.com/images/rocom/c/c2/1qy2ib6i9lr8p6c9gh8mfuo0df9a1tb.png","https://wiki.biligame.com/rocom/%E9%9B%85%E4%B8%B9%E9%AC%83"
"17","353","凡鹰","125","620","118","92","89","86","110","https://patchwiki.biligame.com/images/rocom/f/f2/mjr3868sdrox5qo44kd6m3mnvma2wwa.png","https://wiki.biligame.com/rocom/%E5%87%A1%E9%B9%B0"
"18","081","星光狮（月光能量的样子）","125","617","80","95","107","90","120","https://patchwiki.biligame.com/images/rocom/d/d6/iixbxn3wupmru7y4ms0r4u8gk6g6ais.png","https://wiki.biligame.com/rocom/%E6%98%9F%E5%85%89%E7%8B%AE%EF%BC%88%E6%9C%88%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89"
