"可用","文件名","格式","时长秒","编码","原因","路径"
"不可用","海凌工作室 - 暗夜拾光 S1赛季.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 暗夜拾光 S1赛季.mgg"
"不可用","海凌工作室 - 暗夜拾光 拾光通行证.mflac","mflac",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 暗夜拾光 拾光通行证.mflac"
"可用","海凌工作室 - 八一荣光·光之dimo.flac","flac","182.39","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 八一荣光·光之dimo.flac"
"不可用","海凌工作室 - 悲伤凝结.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 悲伤凝结.mgg"
"不可用","海凌工作室 - 冰雪消弭.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 冰雪消弭.mgg"
"不可用","海凌工作室 - 彩蝶鲨的嬉戏.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 彩蝶鲨的嬉戏.mgg"
"不可用","海凌工作室 - 残骸诉说往昔.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 残骸诉说往昔.mgg"
"不可用","海凌工作室 - 晨晖的祈愿.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 晨晖的祈愿.mgg"
"不可用","海凌工作室 - 岛屿假期.mgg","mgg",,,"专属/加密格式，ffmpeg不可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 岛屿假期.mgg"
"可用","海凌工作室 - 地平线.flac","flac","204.99","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 地平线.flac"
"可用","海凌工作室 - 动感节奏.flac","flac","271.95","flac","ffmpeg可解码","E:\luokewangguo\roco_world_data\Music\海凌工作室 - 动感节奏.flac"
