number,name,file,source,image_url,source_url
001,迪莫,E:\luokewangguo\roco_world_data\data\spirit_images\001_迪莫.png,download,https://patchwiki.biligame.com/images/rocom/2/25/o64cvcxq1l6tlur77xjqbwx2s4imabd.png,https://wiki.biligame.com/rocom/%E8%BF%AA%E8%8E%AB
002,喵喵,E:\luokewangguo\roco_world_data\data\spirit_images\002_喵喵.png,download,https://patchwiki.biligame.com/images/rocom/3/34/swx8tx6o3mpyfnqrkxu1kth6sgzott2.png,https://wiki.biligame.com/rocom/%E5%96%B5%E5%96%B5
003,喵呜,E:\luokewangguo\roco_world_data\data\spirit_images\003_喵呜.png,download,https://patchwiki.biligame.com/images/rocom/8/8d/dfnsd50cr86p61a37sanzt5jp3i022u.png,https://wiki.biligame.com/rocom/%E5%96%B5%E5%91%9C
004,叶冕魔力猫,E:\luokewangguo\roco_world_data\data\spirit_images\004_叶冕魔力猫.png,existing,https://patchwiki.biligame.com/images/rocom/2/21/bex2jmtdhmnx0b0j1b1pfcmf5imwzyv.png,https://wiki.biligame.com/rocom/%E5%8F%B6%E5%86%95%E9%AD%94%E5%8A%9B%E7%8C%AB
004,魔力猫,E:\luokewangguo\roco_world_data\data\spirit_images\004_魔力猫.png,existing,https://patchwiki.biligame.com/images/rocom/3/33/p4l4i0xh8rzj0mosp9sgw4qjfvlbl0r.png,https://wiki.biligame.com/rocom/%E9%AD%94%E5%8A%9B%E7%8C%AB
005,火花,E:\luokewangguo\roco_world_data\data\spirit_images\005_火花.png,download,https://patchwiki.biligame.com/images/rocom/a/a1/jzel7fdbrw66zvccwcx4ekg72d66m21.png,https://wiki.biligame.com/rocom/%E7%81%AB%E8%8A%B1
006,焰火,E:\luokewangguo\roco_world_data\data\spirit_images\006_焰火.png,existing,https://patchwiki.biligame.com/images/rocom/b/b9/r8j0510jtxabhlyl5srx22orefxhh5g.png,https://wiki.biligame.com/rocom/%E7%84%B0%E7%81%AB
007,火神,E:\luokewangguo\roco_world_data\data\spirit_images\007_火神.png,existing,https://patchwiki.biligame.com/images/rocom/4/4f/627a47xjvghn9okifk66vhsx4uv7101.png,https://wiki.biligame.com/rocom/%E7%81%AB%E7%A5%9E
007,烈火战神,E:\luokewangguo\roco_world_data\data\spirit_images\007_烈火战神.png,existing,https://patchwiki.biligame.com/images/rocom/6/6a/hacle5ni5exjxhg13fofbitd0i3xw00.png,https://wiki.biligame.com/rocom/%E7%83%88%E7%81%AB%E6%88%98%E7%A5%9E
008,水蓝蓝,E:\luokewangguo\roco_world_data\data\spirit_images\008_水蓝蓝.png,download,https://patchwiki.biligame.com/images/rocom/0/0b/km91vn87f93y9ukj6ir6wsc4dl8shx1.png,https://wiki.biligame.com/rocom/%E6%B0%B4%E8%93%9D%E8%93%9D
009,波波拉,E:\luokewangguo\roco_world_data\data\spirit_images\009_波波拉.png,download,https://patchwiki.biligame.com/images/rocom/c/c2/63ym3z73l9k65ws69a63g8f0itajsu4.png,https://wiki.biligame.com/rocom/%E6%B3%A2%E6%B3%A2%E6%8B%89
010,圣水守护,E:\luokewangguo\roco_world_data\data\spirit_images\010_圣水守护.png,existing,https://patchwiki.biligame.com/images/rocom/f/f5/fzch3e2qtlrly3p0mvgoc4287dgt2gf.png,https://wiki.biligame.com/rocom/%E5%9C%A3%E6%B0%B4%E5%AE%88%E6%8A%A4
010,水灵,E:\luokewangguo\roco_world_data\data\spirit_images\010_水灵.png,existing,https://patchwiki.biligame.com/images/rocom/5/50/33by7ml0nsrsxxq1l8l2uj4izqnuwpd.png,https://wiki.biligame.com/rocom/%E6%B0%B4%E7%81%B5
011,鸭吉吉国王,E:\luokewangguo\roco_world_data\data\spirit_images\011_鸭吉吉国王.png,existing,https://patchwiki.biligame.com/images/rocom/9/95/q0mtucowyppqrj7uhrlim51von6qi83.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%E5%9B%BD%E7%8E%8B
011,鸭吉吉（急急急鸭）,E:\luokewangguo\roco_world_data\data\spirit_images\011_鸭吉吉（急急急鸭）.png,existing,https://patchwiki.biligame.com/images/rocom/6/6f/7sidri1o3ke9cih06jlecsl5g9pqexq.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E6%80%A5%E6%80%A5%E6%80%A5%E9%B8%AD%EF%BC%89
011,鸭吉吉（燃了鸭）,E:\luokewangguo\roco_world_data\data\spirit_images\011_鸭吉吉（燃了鸭）.png,existing,https://patchwiki.biligame.com/images/rocom/3/36/qur3wj31ncfb3a9hw2vdvghxn494jtk.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%87%83%E4%BA%86%E9%B8%AD%EF%BC%89
011,鸭吉吉（等一等鸭）,E:\luokewangguo\roco_world_data\data\spirit_images\011_鸭吉吉（等一等鸭）.png,existing,https://patchwiki.biligame.com/images/rocom/d/dc/1prqafj7lzcp75byt1ttvpfoblncbrg.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%AD%89%E4%B8%80%E7%AD%89%E9%B8%AD%EF%BC%89
011,鸭吉吉（紧实的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\011_鸭吉吉（紧实的样子）.png,existing,https://patchwiki.biligame.com/images/rocom/f/fd/eewpeu21i6fzcqfcnez834gvppirdw8.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%B4%A7%E5%AE%9E%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
011,鸭吉吉（蓬松的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\011_鸭吉吉（蓬松的样子）.png,existing,https://patchwiki.biligame.com/images/rocom/9/9b/lsgonow9dtf4nlte0094yq43stn0nrv.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E8%93%AC%E6%9D%BE%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
011,鸭吉吉（起来鸭）,E:\luokewangguo\roco_world_data\data\spirit_images\011_鸭吉吉（起来鸭）.png,existing,https://patchwiki.biligame.com/images/rocom/3/3c/j6agh5wzsw4sxhzzjatf0w077ff8a0t.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E8%B5%B7%E6%9D%A5%E9%B8%AD%EF%BC%89
012,板板壳（本来的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\012_板板壳（本来的样子）.png,download,https://patchwiki.biligame.com/images/rocom/0/05/7yi5qyeejez9yyyhya70f2fkvtwlrp2.png,https://wiki.biligame.com/rocom/%E6%9D%BF%E6%9D%BF%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
012,板板壳（蜕皮时的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\012_板板壳（蜕皮时的样子）.png,download,https://patchwiki.biligame.com/images/rocom/0/0b/f6rfoq6jnttsb3wcb4h4aiu50ublut1.png,https://wiki.biligame.com/rocom/%E6%9D%BF%E6%9D%BF%E5%A3%B3%EF%BC%88%E8%9C%95%E7%9A%AE%E6%97%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
013,咔咔壳（本来的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\013_咔咔壳（本来的样子）.png,download,https://patchwiki.biligame.com/images/rocom/7/70/n9aqhwtf7asg5d60p6rzsxwuupsdtba.png,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
013,咔咔壳（蜕皮时的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\013_咔咔壳（蜕皮时的样子）.png,download,https://patchwiki.biligame.com/images/rocom/1/14/7wnrvevs8mkyphsmoz74w3nahkovtk9.png,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E5%A3%B3%EF%BC%88%E8%9C%95%E7%9A%AE%E6%97%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
014,水泡壳（本来的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\014_水泡壳（本来的样子）.png,download,https://patchwiki.biligame.com/images/rocom/d/d0/0fhxxfotj2zivjel031i1w9v6ys3ts4.png,https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A1%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
014,水泡壳（蜕皮时的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\014_水泡壳（蜕皮时的样子）.png,download,https://patchwiki.biligame.com/images/rocom/3/3b/q3czw9wpfsxp68fq5lf32fqcl7jxynl.png,https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A1%E5%A3%B3%EF%BC%88%E8%9C%95%E7%9A%AE%E6%97%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
015,锥尾羊,E:\luokewangguo\roco_world_data\data\spirit_images\015_锥尾羊.png,download,https://patchwiki.biligame.com/images/rocom/0/0b/c9kn29sskgdppe1ipgd7ooyioj90dyt.png,https://wiki.biligame.com/rocom/%E9%94%A5%E5%B0%BE%E7%BE%8A
016,铃兰羊,E:\luokewangguo\roco_world_data\data\spirit_images\016_铃兰羊.png,download,https://patchwiki.biligame.com/images/rocom/a/af/pbgcws3qiaqvryk28q9cmer116jy71d.png,https://wiki.biligame.com/rocom/%E9%93%83%E5%85%B0%E7%BE%8A
017,花影羚羊,E:\luokewangguo\roco_world_data\data\spirit_images\017_花影羚羊.png,existing,https://patchwiki.biligame.com/images/rocom/b/b5/kyhqvze7bxy684o6pql6pkank91011k.png,https://wiki.biligame.com/rocom/%E8%8A%B1%E5%BD%B1%E7%BE%9A%E7%BE%8A
018,雪绒鸟（夏天的样子）,E:\luokewangguo\roco_world_data\data\spirit_images\018_雪绒鸟（夏天的样子）.png,download,https://patchwiki.biligame.com/images/rocom/c/cb/2za5mbxfw4ix6fwzeq541zscqathivh.png,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%BB%92%E9%B8%9F%EF%BC%88%E5%A4%8F%E5%A4%A9%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
